emoji,words,category
🇩🇴,dominican republic,country flag
🇩🇿,algeria,country flag
🇪🇦,ceuta & melilla,country flag
🇪🇨,ecuador,country flag
🇪🇪,estonia,country flag
🇪🇬,egypt,country flag
🇪🇭,western sahara,country flag
🇪🇷,eritrea,country flag
🇪🇸,spain,country flag
🇪🇹,ethiopia,country flag
🇪🇺,european union,country flag
🇫🇮,finland,country flag
🇫🇯,fiji,country flag
🇫🇰,falkland islands,country flag
🇫🇲,micronesia,country flag
🇫🇴,faroe islands,country flag
🇫🇷,france,country flag
🇬🇦,gabon,country flag
🇬🇧,united kingdom,country flag
🇬🇩,grenada,country flag
🇬🇪,georgia,country flag
🇬🇫,french guiana,country flag
🇬🇬,guernsey,country flag
🇬🇭,ghana,country flag
