emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
🏬,department store,building | department | store,department store | building | department | store,place building,Travel & Places,place-building,department store
🏭,factory,building | factory,factory | building | factory,place building,Travel & Places,place-building,factory
🏮,red paper lantern,bar | lantern | light | paper | red | restaurant,red paper lantern | bar | lantern | light | paper | red | restaurant,light and video,Objects,light & video,red paper lantern
🏯,Japanese castle,building | castle | Japanese,Japanese castle | building | castle | Japanese,place building,Travel & Places,place-building,Japanese castle
🏰,castle,building | castle | European,castle | building | castle | European,place building,Travel & Places,place-building,castle
🏳,white flag,flag | waving | white,white flag | flag | waving | white,flag,Flags,flag,white flag
🏳‍⚧,transgender flag,blue | flag | light | pink | transgender | white,transgender flag | blue | flag | light | pink | transgender | white,flag,Flags,flag,transgender flag
🏳‍🌈,rainbow flag,bisexual | flag | gay | genderqueer | glbt | glbtq | lesbian | lgbt | lgbtq | lgbtqia | pride | queer | rainbow | trans | transgender,rainbow flag | bisexual | flag | gay | genderqueer | glbt | glbtq | lesbian | lgbt | lgbtq | lgbtqia | pride | queer | rainbow | trans | transgender,flag,Flags,flag,rainbow flag
🏴,black flag,black | flag | waving,black flag | black | flag | waving,flag,Flags,flag,black flag
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag: England,flag,flag: England | flag,subdivision flag,Flags,subdivision-flag,flag: England
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag: Scotland,flag,flag: Scotland | flag,subdivision flag,Flags,subdivision-flag,flag: Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales,flag,flag: Wales | flag,subdivision flag,Flags,subdivision-flag,flag: Wales
🏴‍☠,pirate flag,flag | Jolly | pirate | plunder | Roger | treasure,pirate flag | flag | Jolly | pirate | plunder | Roger | treasure,flag,Flags,flag,pirate flag
🏵,rosette,plant | rosette,rosette | plant | rosette,plant flower,Animals & Nature,plant-flower,rosette
🏷,label,label | tag,label | label | tag,book paper,Objects,book-paper,label
🏸,badminton,badminton | birdie | game | racquet | shuttlecock,badminton | badminton | birdie | game | racquet | shuttlecock,sport,Activities,sport,badminton
🏹,bow and arrow,archer | archery | arrow | bow | Sagittarius | tool | weapon | zodiac,bow and arrow | archer | archery | arrow | bow | Sagittarius | tool | weapon | zodiac,tool,Objects,tool,bow and arrow
🏺,amphora,amphora | Aquarius | cooking | drink | jug | tool | weapon | zodiac,amphora | amphora | Aquarius | cooking | drink | jug | tool | weapon | zodiac,dishware,Food & Drink,dishware,amphora
🐀,rat,animal | rat,rat | animal | rat,animal mammal,Animals & Nature,animal-mammal,rat
🐁,mouse,animal | animals | mouse,mouse | animal | animals | mouse,animal mammal,Animals & Nature,animal-mammal,mouse
🐂,ox,animal | animals | bull | farm | ox | Taurus | zodiac,ox | animal | animals | bull | farm | ox | Taurus | zodiac,animal mammal,Animals & Nature,animal-mammal,ox
🐃,water buffalo,animal | buffalo | water | zoo,water buffalo | animal | buffalo | water | zoo,animal mammal,Animals & Nature,animal-mammal,water buffalo
🐄,cow,animal | animals | cow | farm | milk | moo,cow | animal | animals | cow | farm | milk | moo,animal mammal,Animals & Nature,animal-mammal,cow
🐅,tiger,animal | big | cat | predator | tiger | zoo,tiger | animal | big | cat | predator | tiger | zoo,animal mammal,Animals & Nature,animal-mammal,tiger
🐆,leopard,animal | big | cat | leopard | predator | zoo,leopard | animal | big | cat | leopard | predator | zoo,animal mammal,Animals & Nature,animal-mammal,leopard
🐇,rabbit,animal | bunny | pet | rabbit,rabbit | animal | bunny | pet | rabbit,animal mammal,Animals & Nature,animal-mammal,rabbit
🐈,cat,animal | animals | cat | cats | kitten | pet,cat | animal | animals | cat | cats | kitten | pet,animal mammal,Animals & Nature,animal-mammal,cat
🐈‍⬛,black cat,animal | black | cat | feline | halloween | meow | unlucky,black cat | animal | black | cat | feline | halloween | meow | unlucky,animal mammal,Animals & Nature,animal-mammal,black cat
🐉,dragon,animal | dragon | fairy | fairytale | knights | tale,dragon | animal | dragon | fairy | fairytale | knights | tale,animal reptile,Animals & Nature,animal-reptile,dragon
🐊,crocodile,animal | crocodile | zoo,crocodile | animal | crocodile | zoo,animal reptile,Animals & Nature,animal-reptile,crocodile
🐋,whale,animal | beach | ocean | whale,whale | animal | beach | ocean | whale,animal marine,Animals & Nature,animal-marine,whale
🐌,snail,animal | escargot | garden | nature | slug | snail,snail | animal | escargot | garden | nature | slug | snail,animal bug,Animals & Nature,animal-bug,snail
🐍,snake,animal | bearer | Ophiuchus | serpent | snake | zodiac,snake | animal | bearer | Ophiuchus | serpent | snake | zodiac,animal reptile,Animals & Nature,animal-reptile,snake
🐎,horse,animal | equestrian | farm | horse | racehorse | racing,horse | animal | equestrian | farm | horse | racehorse | racing,animal mammal,Animals & Nature,animal-mammal,horse
🐏,ram,animal | Aries | horns | male | ram | sheep | zodiac | zoo,ram | animal | Aries | horns | male | ram | sheep | zodiac | zoo,animal mammal,Animals & Nature,animal-mammal,ram
🐐,goat,animal | Capricorn | farm | goat | milk | zodiac,goat | animal | Capricorn | farm | goat | milk | zodiac,animal mammal,Animals & Nature,animal-mammal,goat
🐑,ewe,animal | baa | ewe | farm | female | fluffy | lamb | sheep | wool,ewe | animal | baa | ewe | farm | female | fluffy | lamb | sheep | wool,animal mammal,Animals & Nature,animal-mammal,ewe
🐒,monkey,animal | banana | monkey,monkey | animal | banana | monkey,animal mammal,Animals & Nature,animal-mammal,monkey
🐓,rooster,animal | bird | ornithology | rooster,rooster | animal | bird | ornithology | rooster,animal bird,Animals & Nature,animal-bird,rooster
🐔,chicken,animal | bird | chicken | ornithology,chicken | animal | bird | chicken | ornithology,animal bird,Animals & Nature,animal-bird,chicken
🐕,dog,animal | animals | dog | dogs | pet,dog | animal | animals | dog | dogs | pet,animal mammal,Animals & Nature,animal-mammal,dog
🐕‍🦺,service dog,accessibility | animal | assistance | dog | service,service dog | accessibility | animal | assistance | dog | service,animal mammal,Animals & Nature,animal-mammal,service dog
🐖,pig,animal | bacon | farm | pig | pork | sow,pig | animal | bacon | farm | pig | pork | sow,animal mammal,Animals & Nature,animal-mammal,pig
🐗,boar,animal | boar | pig,boar | animal | boar | pig,animal mammal,Animals & Nature,animal-mammal,boar
🐘,elephant,animal | elephant,elephant | animal | elephant,animal mammal,Animals & Nature,animal-mammal,elephant
🐙,octopus,animal | creature | ocean | octopus,octopus | animal | creature | ocean | octopus,animal marine,Animals & Nature,animal-marine,octopus
🐚,spiral shell,animal | beach | conch | sea | shell | spiral,spiral shell | animal | beach | conch | sea | shell | spiral,animal marine,Animals & Nature,animal-marine,spiral shell
🐛,bug,animal | bug | garden | insect,bug | animal | bug | garden | insect,animal bug,Animals & Nature,animal-bug,bug
🐜,ant,animal | ant | garden | insect,ant | animal | ant | garden | insect,animal bug,Animals & Nature,animal-bug,ant
🐝,honeybee,animal | bee | bumblebee | honey | honeybee | insect | nature | spring,honeybee | animal | bee | bumblebee | honey | honeybee | insect | nature | spring,animal bug,Animals & Nature,animal-bug,honeybee
🐞,lady beetle,animal | beetle | garden | insect | lady | ladybird | ladybug | nature,lady beetle | animal | beetle | garden | insect | lady | ladybird | ladybug | nature,animal bug,Animals & Nature,animal-bug,lady beetle
🐟,fish,animal | dinner | fish | fishes | fishing | Pisces | zodiac,fish | animal | dinner | fish | fishes | fishing | Pisces | zodiac,animal marine,Animals & Nature,animal-marine,fish
🐠,tropical fish,animal | fish | fishes | tropical,tropical fish | animal | fish | fishes | tropical,animal marine,Animals & Nature,animal-marine,tropical fish
🐡,blowfish,animal | blowfish | fish,blowfish | animal | blowfish | fish,animal marine,Animals & Nature,animal-marine,blowfish
🐢,turtle,animal | terrapin | tortoise | turtle,turtle | animal | terrapin | tortoise | turtle,animal reptile,Animals & Nature,animal-reptile,turtle
🐣,hatching chick,animal | baby | bird | chick | egg | hatching,hatching chick | animal | baby | bird | chick | egg | hatching,animal bird,Animals & Nature,animal-bird,hatching chick
🐤,baby chick,animal | baby | bird | chick | ornithology,baby chick | animal | baby | bird | chick | ornithology,animal bird,Animals & Nature,animal-bird,baby chick
🐥,front-facing baby chick,animal | baby | bird | chick | front-facing | newborn | ornithology,front-facing baby chick | animal | baby | bird | chick | front-facing | newborn | ornithology,animal bird,Animals & Nature,animal-bird,front-facing baby chick
🐦,bird,animal | bird | ornithology,bird | animal | bird | ornithology,animal bird,Animals & Nature,animal-bird,bird
🐦‍⬛,black bird,animal | beak | bird | black | caw | corvid | crow | ornithology | raven | rook,black bird | animal | beak | bird | black | caw | corvid | crow | ornithology | raven | rook,animal bird,Animals & Nature,animal-bird,black bird
🐦‍🔥,phoenix,ascend | ascension | emerge | fantasy | firebird | glory | immortal | phoenix | rebirth | reincarnation | reinvent | renewal | revival | revive | rise | transform,phoenix | ascend | ascension | emerge | fantasy | firebird | glory | immortal | phoenix | rebirth | reincarnation | reinvent | renewal | revival | revive | rise | transform,animal bird,Animals & Nature,animal-bird,phoenix
🐧,penguin,animal | antarctica | bird | ornithology | penguin,penguin | animal | antarctica | bird | ornithology | penguin,animal bird,Animals & Nature,animal-bird,penguin
🐨,koala,animal | australia | bear | down | face | koala | marsupial | under,koala | animal | australia | bear | down | face | koala | marsupial | under,animal mammal,Animals & Nature,animal-mammal,koala
🐩,poodle,animal | dog | fluffy | poodle,poodle | animal | dog | fluffy | poodle,animal mammal,Animals & Nature,animal-mammal,poodle
🐪,camel,animal | camel | desert | dromedary | hump | one,camel | animal | camel | desert | dromedary | hump | one,animal mammal,Animals & Nature,animal-mammal,camel
🐫,two-hump camel,animal | bactrian | camel | desert | hump | two | two-hump,two-hump camel | animal | bactrian | camel | desert | hump | two | two-hump,animal mammal,Animals & Nature,animal-mammal,two-hump camel
🐬,dolphin,animal | beach | dolphin | flipper | ocean,dolphin | animal | beach | dolphin | flipper | ocean,animal marine,Animals & Nature,animal-marine,dolphin
🐭,mouse face,animal | face | mouse,mouse face | animal | face | mouse,animal mammal,Animals & Nature,animal-mammal,mouse face
🐮,cow face,animal | cow | face | farm | milk | moo,cow face | animal | cow | face | farm | milk | moo,animal mammal,Animals & Nature,animal-mammal,cow face
🐯,tiger face,animal | big | cat | face | predator | tiger,tiger face | animal | big | cat | face | predator | tiger,animal mammal,Animals & Nature,animal-mammal,tiger face
🐰,rabbit face,animal | bunny | face | pet | rabbit,rabbit face | animal | bunny | face | pet | rabbit,animal mammal,Animals & Nature,animal-mammal,rabbit face
🐱,cat face,animal | cat | face | kitten | kitty | pet,cat face | animal | cat | face | kitten | kitty | pet,animal mammal,Animals & Nature,animal-mammal,cat face
🐲,dragon face,animal | dragon | face | fairy | fairytale | tale,dragon face | animal | dragon | face | fairy | fairytale | tale,animal reptile,Animals & Nature,animal-reptile,dragon face
🐳,spouting whale,animal | beach | face | ocean | spouting | whale,spouting whale | animal | beach | face | ocean | spouting | whale,animal marine,Animals & Nature,animal-marine,spouting whale
🐴,horse face,animal | dressage | equine | face | farm | horse | horses,horse face | animal | dressage | equine | face | farm | horse | horses,animal mammal,Animals & Nature,animal-mammal,horse face
🐵,monkey face,animal | banana | face | monkey,monkey face | animal | banana | face | monkey,animal mammal,Animals & Nature,animal-mammal,monkey face
🐶,dog face,adorbs | animal | dog | face | pet | puppies | puppy,dog face | adorbs | animal | dog | face | pet | puppies | puppy,animal mammal,Animals & Nature,animal-mammal,dog face
🐷,pig face,animal | bacon | face | farm | pig | pork,pig face | animal | bacon | face | farm | pig | pork,animal mammal,Animals & Nature,animal-mammal,pig face
🐸,frog,animal | face | frog,frog | animal | face | frog,animal amphibian,Animals & Nature,animal-amphibian,frog
🐹,hamster,animal | face | hamster | pet,hamster | animal | face | hamster | pet,animal mammal,Animals & Nature,animal-mammal,hamster
🐺,wolf,animal | face | wolf,wolf | animal | face | wolf,animal mammal,Animals & Nature,animal-mammal,wolf
🐻,bear,animal | bear | face | grizzly | growl | honey,bear | animal | bear | face | grizzly | growl | honey,animal mammal,Animals & Nature,animal-mammal,bear
🐻‍❄,polar bear,animal | arctic | bear | polar | white,polar bear | animal | arctic | bear | polar | white,animal mammal,Animals & Nature,animal-mammal,polar bear
🐼,panda,animal | bamboo | face | panda,panda | animal | bamboo | face | panda,animal mammal,Animals & Nature,animal-mammal,panda
🐽,pig nose,animal | face | farm | nose | pig | smell | snout,pig nose | animal | face | farm | nose | pig | smell | snout,animal mammal,Animals & Nature,animal-mammal,pig nose
🐾,paw prints,feet | paw | paws | print | prints,paw prints | feet | paw | paws | print | prints,animal mammal,Animals & Nature,animal-mammal,paw prints
🐿,chipmunk,animal | chipmunk | squirrel,chipmunk | animal | chipmunk | squirrel,animal mammal,Animals & Nature,animal-mammal,chipmunk
👀,eyes,body | eye | eyes | face | googly | look | looking | omg | peep | see | seeing,eyes | body | eye | eyes | face | googly | look | looking | omg | peep | see | seeing,body parts,People & Body,body-parts,eyes
👁,eye,1 | body | eye | one,eye | 1 | body | eye | one,body parts,People & Body,body-parts,eye
👁‍🗨,eye in speech bubble,balloon | bubble | eye | speech | witness,eye in speech bubble | balloon | bubble | eye | speech | witness,emotion,Smileys & Emotion,emotion,eye in speech bubble
👂,ear,body | dark skin tone | ear | ears | hear | hearing | listen | listening | sound,ear | body | dark skin tone | ear | ears | hear | hearing | listen | listening | sound,body parts,People & Body,body-parts,ear
👃,nose,body | dark skin tone | nose | noses | nosey | odor | smell | smells,nose | body | dark skin tone | nose | noses | nosey | odor | smell | smells,body parts,People & Body,body-parts,nose
👄,mouth,beauty | body | kiss | kissing | lips | lipstick | mouth,mouth | beauty | body | kiss | kissing | lips | lipstick | mouth,body parts,People & Body,body-parts,mouth
👅,tongue,body | lick | slurp | tongue,tongue | body | lick | slurp | tongue,body parts,People & Body,body-parts,tongue
👆,backhand index pointing up,backhand | dark skin tone | finger | hand | index | point | pointing | up,backhand index pointing up | backhand | dark skin tone | finger | hand | index | point | pointing | up,hand single finger,People & Body,hand-single-finger,backhand index pointing up
👇,backhand index pointing down,backhand | dark skin tone | down | finger | hand | index | point | pointing,backhand index pointing down | backhand | dark skin tone | down | finger | hand | index | point | pointing,hand single finger,People & Body,hand-single-finger,backhand index pointing down
👈,backhand index pointing left,backhand | dark skin tone | finger | hand | index | left | point | pointing,backhand index pointing left | backhand | dark skin tone | finger | hand | index | left | point | pointing,hand single finger,People & Body,hand-single-finger,backhand index pointing left
👉,backhand index pointing right,backhand | dark skin tone | finger | hand | index | point | pointing | right,backhand index pointing right | backhand | dark skin tone | finger | hand | index | point | pointing | right,hand single finger,People & Body,hand-single-finger,backhand index pointing right
👊,oncoming fist,absolutely | agree | boom | bro | bruh | bump | clenched | correct | dark skin tone | fist | hand | knuckle | oncoming | pound | punch | rock | ttyl,oncoming fist | absolutely | agree | boom | bro | bruh | bump | clenched | correct | dark skin tone | fist | hand | knuckle | oncoming | pound | punch | rock | ttyl,hand fingers closed,People & Body,hand-fingers-closed,oncoming fist
👋,waving hand,bye | cya | dark skin tone | g2g | greetings | gtg | hand | hello | hey | hi | later | outtie | ttfn | ttyl | wave | yo | you,waving hand | bye | cya | dark skin tone | g2g | greetings | gtg | hand | hello | hey | hi | later | outtie | ttfn | ttyl | wave | yo | you,hand fingers open,People & Body,hand-fingers-open,waving hand
👌,OK hand,awesome | bet | dark skin tone | dope | fleek | fosho | got | gotcha | hand | legit | OK | okay | pinch | rad | sure | sweet | three,OK hand | awesome | bet | dark skin tone | dope | fleek | fosho | got | gotcha | hand | legit | OK | okay | pinch | rad | sure | sweet | three,hand fingers partial,People & Body,hand-fingers-partial,OK hand
👍,thumbs up,+1 | dark skin tone | good | hand | like | thumb | up | yes,thumbs up | +1 | dark skin tone | good | hand | like | thumb | up | yes,hand fingers closed,People & Body,hand-fingers-closed,thumbs up
👎,thumbs down,-1 | bad | dark skin tone | dislike | down | good | hand | no | nope | thumb | thumbs,thumbs down | -1 | bad | dark skin tone | dislike | down | good | hand | no | nope | thumb | thumbs,hand fingers closed,People & Body,hand-fingers-closed,thumbs down
👏,clapping hands,applause | approval | awesome | clap | congrats | congratulations | dark skin tone | excited | good | great | hand | homie | job | nice | prayed | well | yay,clapping hands | applause | approval | awesome | clap | congrats | congratulations | dark skin tone | excited | good | great | hand | homie | job | nice | prayed | well | yay,hands,People & Body,hands,clapping hands
👐,open hands,dark skin tone | hand | hands | hug | jazz | open | swerve,open hands | dark skin tone | hand | hands | hug | jazz | open | swerve,hands,People & Body,hands,open hands
👑,crown,clothing | crown | family | king | medieval | queen | royal | royalty | win,crown | clothing | crown | family | king | medieval | queen | royal | royalty | win,clothing,Objects,clothing,crown
👒,woman’s hat,clothes | clothing | garden | hat | hats | party | woman | woman’s,woman’s hat | clothes | clothing | garden | hat | hats | party | woman | woman’s,clothing,Objects,clothing,woman’s hat
👓,glasses,clothing | eye | eyeglasses | eyewear | glasses,glasses | clothing | eye | eyeglasses | eyewear | glasses,clothing,Objects,clothing,glasses
👔,necktie,clothing | employed | necktie | serious | shirt | tie,necktie | clothing | employed | necktie | serious | shirt | tie,clothing,Objects,clothing,necktie
👕,t-shirt,blue | casual | clothes | clothing | collar | dressed | shirt | shopping | t-shirt | tshirt | weekend,t-shirt | blue | casual | clothes | clothing | collar | dressed | shirt | shopping | t-shirt | tshirt | weekend,clothing,Objects,clothing,t-shirt
👖,jeans,blue | casual | clothes | clothing | denim | dressed | jeans | pants | shopping | trousers | weekend,jeans | blue | casual | clothes | clothing | denim | dressed | jeans | pants | shopping | trousers | weekend,clothing,Objects,clothing,jeans
👗,dress,clothes | clothing | dress | dressed | fancy | shopping,dress | clothes | clothing | dress | dressed | fancy | shopping,clothing,Objects,clothing,dress
👘,kimono,clothing | comfortable | kimono,kimono | clothing | comfortable | kimono,clothing,Objects,clothing,kimono
👙,bikini,bathing | beach | bikini | clothing | pool | suit | swim,bikini | bathing | beach | bikini | clothing | pool | suit | swim,clothing,Objects,clothing,bikini
👚,woman’s clothes,blouse | clothes | clothing | collar | dress | dressed | lady | shirt | shopping | woman | woman’s,woman’s clothes | blouse | clothes | clothing | collar | dress | dressed | lady | shirt | shopping | woman | woman’s,clothing,Objects,clothing,woman’s clothes
👛,purse,clothes | clothing | coin | dress | fancy | handbag | purse | shopping,purse | clothes | clothing | coin | dress | fancy | handbag | purse | shopping,clothing,Objects,clothing,purse
👜,handbag,bag | clothes | clothing | dress | handbag | lady | purse | shopping,handbag | bag | clothes | clothing | dress | handbag | lady | purse | shopping,clothing,Objects,clothing,handbag
👝,clutch bag,bag | clothes | clothing | clutch | dress | handbag | pouch | purse,clutch bag | bag | clothes | clothing | clutch | dress | handbag | pouch | purse,clothing,Objects,clothing,clutch bag
👞,man’s shoe,brown | clothes | clothing | feet | foot | kick | man | man’s | shoe | shoes | shopping,man’s shoe | brown | clothes | clothing | feet | foot | kick | man | man’s | shoe | shoes | shopping,clothing,Objects,clothing,man’s shoe
👟,running shoe,athletic | clothes | clothing | fast | kick | running | shoe | shoes | shopping | sneaker | tennis,running shoe | athletic | clothes | clothing | fast | kick | running | shoe | shoes | shopping | sneaker | tennis,clothing,Objects,clothing,running shoe
👠,high-heeled shoe,clothes | clothing | dress | fashion | heel | heels | high-heeled | shoe | shoes | shopping | stiletto | woman,high-heeled shoe | clothes | clothing | dress | fashion | heel | heels | high-heeled | shoe | shoes | shopping | stiletto | woman,clothing,Objects,clothing,high-heeled shoe
👡,woman’s sandal,clothing | sandal | shoe | woman | woman’s,woman’s sandal | clothing | sandal | shoe | woman | woman’s,clothing,Objects,clothing,woman’s sandal
👢,woman’s boot,boot | clothes | clothing | dress | shoe | shoes | shopping | woman | woman’s,woman’s boot | boot | clothes | clothing | dress | shoe | shoes | shopping | woman | woman’s,clothing,Objects,clothing,woman’s boot
👣,footprints,barefoot | clothing | footprint | footprints | omw | print | walk,footprints | barefoot | clothing | footprint | footprints | omw | print | walk,person symbol,People & Body,person-symbol,footprints
👤,bust in silhouette,bust | mysterious | shadow | silhouette,bust in silhouette | bust | mysterious | shadow | silhouette,person symbol,People & Body,person-symbol,bust in silhouette
👥,busts in silhouette,bff | bust | busts | everyone | friend | friends | people | silhouette,busts in silhouette | bff | bust | busts | everyone | friend | friends | people | silhouette,person symbol,People & Body,person-symbol,busts in silhouette
👦,boy,boy | bright-eyed | child | dark skin tone | grandson | kid | son | young | younger,boy | boy | bright-eyed | child | dark skin tone | grandson | kid | son | young | younger,person,People & Body,person,boy
👧,girl,bright-eyed | child | dark skin tone | daughter | girl | granddaughter | kid | Virgo | young | younger | zodiac,girl | bright-eyed | child | dark skin tone | daughter | girl | granddaughter | kid | Virgo | young | younger | zodiac,person,People & Body,person,girl
👨,man,adult | bro | dark skin tone | man,man | adult | bro | dark skin tone | man,person,People & Body,person,man
👨‍⚕,man health worker,dark skin tone | doctor | health | healthcare | man | nurse | therapist | worker,man health worker | dark skin tone | doctor | health | healthcare | man | nurse | therapist | worker,person role,People & Body,person-role,man health worker
👨‍⚖,man judge,dark skin tone | judge | justice | law | man | scales,man judge | dark skin tone | judge | justice | law | man | scales,person role,People & Body,person-role,man judge
👨‍✈,man pilot,dark skin tone | man | pilot | plane,man pilot | dark skin tone | man | pilot | plane,person role,People & Body,person-role,man pilot
👨‍❤‍👨,"couple with heart: man, man, light skin tone",anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | you,"couple with heart: man, man, light skin tone | anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | you",family,People & Body,family,"couple with heart: man, man"
👨‍❤‍💋‍👨,"kiss: man, man, light skin tone",anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | xoxo,"kiss: man, man, light skin tone | anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | xoxo",family,People & Body,family,"kiss: man, man"
👨‍🌾,man farmer,dark skin tone | farmer | gardener | man | rancher,man farmer | dark skin tone | farmer | gardener | man | rancher,person role,People & Body,person-role,man farmer
👨‍🍳,man cook,chef | cook | dark skin tone | man,man cook | chef | cook | dark skin tone | man,person role,People & Body,person-role,man cook
👨‍🍼,man feeding baby,baby | dad | dark skin tone | father | feed | feeding | man | nanny | newborn | nursing,man feeding baby | baby | dad | dark skin tone | father | feed | feeding | man | nanny | newborn | nursing,person role,People & Body,person-role,man feeding baby
👨‍🎓,man student,dark skin tone | graduate | man | student,man student | dark skin tone | graduate | man | student,person role,People & Body,person-role,man student
👨‍🎤,man singer,actor | dark skin tone | entertainer | man | rock | rockstar | singer | star,man singer | actor | dark skin tone | entertainer | man | rock | rockstar | singer | star,person role,People & Body,person-role,man singer
👨‍🎨,man artist,artist | dark skin tone | man | palette,man artist | artist | dark skin tone | man | palette,person role,People & Body,person-role,man artist
👨‍🏫,man teacher,dark skin tone | instructor | lecturer | man | professor | teacher,man teacher | dark skin tone | instructor | lecturer | man | professor | teacher,person role,People & Body,person-role,man teacher
👨‍🏭,man factory worker,assembly | dark skin tone | factory | industrial | man | worker,man factory worker | assembly | dark skin tone | factory | industrial | man | worker,person role,People & Body,person-role,man factory worker
👨‍👦,"family: man, boy",boy | child | family | man,"family: man, boy | boy | child | family | man",family,People & Body,family,"family: man, boy"
👨‍👦‍👦,"family: man, boy, boy",boy | child | family | man,"family: man, boy, boy | boy | child | family | man",family,People & Body,family,"family: man, boy, boy"
👨‍👧,"family: man, girl",child | family | girl | man,"family: man, girl | child | family | girl | man",family,People & Body,family,"family: man, girl"
👨‍👧‍👦,"family: man, girl, boy",boy | child | family | girl | man,"family: man, girl, boy | boy | child | family | girl | man",family,People & Body,family,"family: man, girl, boy"
👨‍👧‍👧,"family: man, girl, girl",child | family | girl | man,"family: man, girl, girl | child | family | girl | man",family,People & Body,family,"family: man, girl, girl"
👨‍👨‍👦,"family: man, man, boy",boy | child | family | man,"family: man, man, boy | boy | child | family | man",family,People & Body,family,"family: man, man, boy"
👨‍👨‍👦‍👦,"family: man, man, boy, boy",boy | child | family | man,"family: man, man, boy, boy | boy | child | family | man",family,People & Body,family,"family: man, man, boy, boy"
👨‍👨‍👧,"family: man, man, girl",child | family | girl | man,"family: man, man, girl | child | family | girl | man",family,People & Body,family,"family: man, man, girl"
👨‍👨‍👧‍👦,"family: man, man, girl, boy",boy | child | family | girl | man,"family: man, man, girl, boy | boy | child | family | girl | man",family,People & Body,family,"family: man, man, girl, boy"
👨‍👨‍👧‍👧,"family: man, man, girl, girl",child | family | girl | man,"family: man, man, girl, girl | child | family | girl | man",family,People & Body,family,"family: man, man, girl, girl"
👨‍👩‍👦,"family: man, woman, boy",boy | child | family | man | woman,"family: man, woman, boy | boy | child | family | man | woman",family,People & Body,family,"family: man, woman, boy"
👨‍👩‍👦‍👦,"family: man, woman, boy, boy",boy | child | family | man | woman,"family: man, woman, boy, boy | boy | child | family | man | woman",family,People & Body,family,"family: man, woman, boy, boy"
👨‍👩‍👧,"family: man, woman, girl",child | family | girl | man | woman,"family: man, woman, girl | child | family | girl | man | woman",family,People & Body,family,"family: man, woman, girl"
👨‍👩‍👧‍👦,"family: man, woman, girl, boy",boy | child | family | girl | man | woman,"family: man, woman, girl, boy | boy | child | family | girl | man | woman",family,People & Body,family,"family: man, woman, girl, boy"
👨‍👩‍👧‍👧,"family: man, woman, girl, girl",child | family | girl | man | woman,"family: man, woman, girl, girl | child | family | girl | man | woman",family,People & Body,family,"family: man, woman, girl, girl"
👨‍💻,man technologist,coder | computer | dark skin tone | developer | inventor | man | software | technologist,man technologist | coder | computer | dark skin tone | developer | inventor | man | software | technologist,person role,People & Body,person-role,man technologist
👨‍💼,man office worker,architect | business | dark skin tone | man | manager | office | white-collar | worker,man office worker | architect | business | dark skin tone | man | manager | office | white-collar | worker,person role,People & Body,person-role,man office worker
👨‍🔧,man mechanic,dark skin tone | electrician | man | mechanic | plumber | tradesperson,man mechanic | dark skin tone | electrician | man | mechanic | plumber | tradesperson,person role,People & Body,person-role,man mechanic
👨‍🔬,man scientist,biologist | chemist | dark skin tone | engineer | man | mathematician | physicist | scientist,man scientist | biologist | chemist | dark skin tone | engineer | man | mathematician | physicist | scientist,person role,People & Body,person-role,man scientist
👨‍🦯,man with white cane,accessibility | blind | cane | dark skin tone | man | probing | white,man with white cane | accessibility | blind | cane | dark skin tone | man | probing | white,person activity,People & Body,person-activity,man with white cane
👨‍🦯‍➡,man with white cane: facing right,accessibility | blind | cane | dark skin tone | facing | man | probing | right | white,man with white cane: facing right | accessibility | blind | cane | dark skin tone | facing | man | probing | right | white,person activity,People & Body,person-activity,man with white cane facing right
👨‍🦰,man: red hair,adult | bro | dark skin tone | man | red hair,man: red hair | adult | bro | dark skin tone | man | red hair,person,People & Body,person,man: red hair
👨‍🦱,man: curly hair,adult | bro | curly hair | dark skin tone | man,man: curly hair | adult | bro | curly hair | dark skin tone | man,person,People & Body,person,man: curly hair
👨‍🦲,man: bald,adult | bald | bro | dark skin tone | man,man: bald | adult | bald | bro | dark skin tone | man,person,People & Body,person,man: bald
👨‍🦳,man: white hair,adult | bro | dark skin tone | man | white hair,man: white hair | adult | bro | dark skin tone | man | white hair,person,People & Body,person,man: white hair
👨‍🦼,man in motorized wheelchair,accessibility | dark skin tone | man | motorized | wheelchair,man in motorized wheelchair | accessibility | dark skin tone | man | motorized | wheelchair,person activity,People & Body,person-activity,man in motorized wheelchair
👨‍🦼‍➡,man in motorized wheelchair: facing right,accessibility | dark skin tone | facing | man | motorized | right | wheelchair,man in motorized wheelchair: facing right | accessibility | dark skin tone | facing | man | motorized | right | wheelchair,person activity,People & Body,person-activity,man in motorized wheelchair facing right
👨‍🦽,man in manual wheelchair,accessibility | dark skin tone | man | manual | wheelchair,man in manual wheelchair | accessibility | dark skin tone | man | manual | wheelchair,person activity,People & Body,person-activity,man in manual wheelchair
